DepMap_ID	source	improve_sample_id	improve_chem_id	study	auc	ic50	ec50	ec50se	r2fit	einf	hs	aac1	auc1	dss1
ACH-000348	gCSI	ACH-000348	Drug_1087	242318	0.5863	6.38	6.38	0.6003	0.9663	0.0	0.3538	0.4613	0.5387	0.4015
ACH-000927	gCSI	ACH-000927	Drug_1493	238792	0.7637	6.005	6.124	0.0433	0.9736	0.3325	4.0	0.2492	0.7508	0.2265
ACH-000114	gCSI	ACH-000114	Drug_883	239531	0.848	3.535	3.535	14.69	0.6822	0.0	0.2587	0.1351	0.8649	0.0544
ACH-000273	gCSI	ACH-000273	Drug_201	243536	0.692	5.84	5.84	0.0842	0.996	0.0	0.9653	0.237	0.763	0.1965
ACH-000696	gCSI	ACH-000696	Drug_795	243098	0.535	7.233	7.297	0.0095	0.9996	0.1538	2.477	0.2877	0.7123	0.2662
ACH-000805	gCSI	ACH-000805	Drug_201	243265	0.7431	5.663	5.976	0.151	0.99	0.2247	0.8279	0.2132	0.7868	0.1635
ACH-000796	gCSI	ACH-000796	Drug_279	241428	0.9878		3.916	0.0	-0.0	0.9757	0.0	0.0122	0.9878	0.0
ACH-000042	gCSI	ACH-000042	Drug_795	243102	0.5958	7.421	7.528	0.0193	0.9986	0.3126	4.0	0.2753	0.7247	0.2524
ACH-000886	gCSI	ACH-000886	Drug_1214	242511	0.7753		8.794	0.0697	0.9837	0.7187	1.683	0.132	0.868	0.0808
ACH-000073	gCSI	ACH-000073	Drug_201	243301	0.7094	5.824	5.848	0.0191	0.9985	0.0563	2.228	0.2103	0.7897	0.1908
ACH-000383	gCSI	ACH-000383	Drug_1005	238248	0.5517	6.939	7.429	0.4989	0.9552	0.2082	0.4778	0.319	0.681	0.248
ACH-000147	gCSI	ACH-000147	Drug_1493	239145	0.7006	6.417	6.648	0.0974	0.9571	0.3215	1.94	0.3465	0.6535	0.3098
ACH-000946	gCSI	ACH-000946	Drug_883	239329	0.995		5.885	0.718	0.3146	0.9842	4.0	0.0037	0.9963	0.0
ACH-000680	gCSI	ACH-000680	Drug_1127	241966	0.5959	7.174	7.366	0.0584	0.9869	0.2797	1.86	0.3478	0.6522	0.3131
ACH-000915	gCSI	ACH-000915	Drug_883	239364	0.8092	4.803	4.803	2.348	0.9178	0.0	0.4523	0.1461	0.8539	0.0815
ACH-000637	gCSI	ACH-000637	Drug_435	241013	0.752	5.555	5.651	0.068	0.996	0.103	1.045	0.2331	0.7669	0.1935
ACH-000147	gCSI	ACH-000147	Drug_883	239550	0.8814		5.697	1.149	0.921	0.6085	0.4816	0.1038	0.8962	0.0398
ACH-000450	gCSI	ACH-000450	Drug_501	239830	0.8642		6.877	0.2127	0.6586	0.7168	4.0	0.1393	0.8607	0.0943
ACH-000409	gCSI	ACH-000409	Drug_201	243502	0.8457	5.247	5.42	0.0315	0.9972	0.3478	2.99	0.0731	0.9269	0.0571
ACH-001239	gCSI	ACH-001239	Drug_279	241578	0.8845		10.73	0.2852	0.4662	0.8845	4.0	0.1116	0.8884	0.0154
ACH-000849	gCSI	ACH-000849	Drug_988	237808	0.33	8.037	8.037	0.0139	0.9993	0.0044	3.912	0.5317	0.4683	0.5209
ACH-000958	gCSI	ACH-000958	Drug_1087	242369	0.354	8.786	9.419	0.173	0.9765	0.1752	0.2957	0.7002	0.2998	0.6669
ACH-000910	gCSI	ACH-000910	Drug_501	239827	0.8334		7.396	0.1389	0.7328	0.7057	4.0	0.1848	0.8152	0.1296
ACH-000965	gCSI	ACH-000965	Drug_1127	241906	0.5067	7.231	7.263	0.0327	0.9949	0.0927	2.863	0.4136	0.5864	0.395
ACH-000273	gCSI	ACH-000273	Drug_1493	239097	0.5509	6.718	6.725	0.0428	0.9943	0.0111	1.463	0.5249	0.4751	0.4965
ACH-000024	gCSI	ACH-000024	Drug_988	237843	0.4756	7.146	7.146	0.0281	0.9958	0.0	3.165	0.3005	0.6995	0.2875
