DepMap_ID	source	improve_sample_id	improve_chem_id	study	auc	ic50	ec50	ec50se	r2fit	einf	hs	aac1	auc1	dss1
ACH-000473	gCSI	ACH-000473	Drug_1163	237474	0.9099		6.985	1.067	0.5965	0.819	0.538	0.0935	0.9065	0.0211
ACH-000657	gCSI	ACH-000657	Drug_1127	241588	0.5278	7.64	7.735	0.0121	0.9993	0.2413	3.028	0.4397	0.5603	0.4118
ACH-000974	gCSI	ACH-000974	Drug_1127	241939	0.3273	8.168	8.177	0.0169	0.9985	0.0338	3.393	0.6721	0.3279	0.6575
ACH-000260	gCSI	ACH-000260	Drug_865	240319	0.4387	8.378	8.45	0.0141	0.999	0.2432	4.0	0.486	0.514	0.4593
ACH-000073	gCSI	ACH-000073	Drug_501	239669	0.9769		7.073	1.299	0.1455	0.955	4.0	0.0245	0.9755	0.0
ACH-000380	gCSI	ACH-000380	Drug_1163	237365	0.9709	2.649	2.649	54.87	0.5357	0.0	0.4898	0.0156	0.9844	0.0
ACH-000205	gCSI	ACH-000205	Drug_1087	242304	0.6142	6.5	7.383	0.1192	0.9876	0.31	0.4756	0.4519	0.5481	0.391
ACH-000073	gCSI	ACH-000073	Drug_1163	237248	1.0		2.643	961.8	0.0	0.8844	1.609	0.0	1.0	0.0
ACH-000374	gCSI	ACH-000374	Drug_1214	242538	0.6598		9.105	0.1655	0.9389	0.597	1.098	0.2215	0.7785	0.1596
ACH-001307	gCSI	ACH-001307	Drug_1105	238366	0.485	7.793	8.049	0.0364	0.9978	0.2362	1.086	0.307	0.693	0.2624
ACH-000849	gCSI	ACH-000849	Drug_895	240629	0.6775	6.013	6.034	0.0381	0.9934	0.0489	2.099	0.3329	0.6671	0.3118
ACH-000052	gCSI	ACH-000052	Drug_201	243216	0.6895	5.951	5.976	0.019	0.9983	0.0574	2.098	0.2416	0.7584	0.2208
ACH-000875	gCSI	ACH-000875	Drug_988	237671	0.4015	7.737	7.754	0.0142	0.9991	0.0435	2.285	0.4398	0.5602	0.4198
